	F1D3Q.sam.counts	F1DFM.sam.counts	F1DNM.sam.counts	F1N1Q.sam.counts	F1N3Q.sam.counts	F1NFM.sam.counts	F1NNM.sam.counts	F2D3Q.sam.counts	F2DFM.sam.counts	F2DNM.sam.counts	F2N1Q.sam.counts	F2N3Q.sam.counts	F2NFM.sam.counts	F2NNM.sam.counts	F3DFM.sam.counts	F3DNM.sam.counts	F3N1Q.sam.counts	F3N3Q.sam.counts	F3NFM.sam.counts	F3NNM.sam.counts	
isogroup36697	108	433	151	327	176	319	205	68	188	140	233	110	133	145	158	202	122	90	152	85	
isogroup36698	44	66	13	23	40	50	22	7	12	16	19	10	16	18	5	19	9	3	8	15	
isogroup36699	26	26	8	19	57	29	65	16	14	44	30	35	18	25	16	21	9	18	11	12	
isogroup367	79	96	28	35	65	124	131	107	57	119	50	133	122	52	25	23	29	21	30	6	
isogroup3670	90	128	21	57	96	83	29	5	13	20	8	23	14	52	10	58	5	15	4	3	
isogroup36700	9	8	1	6	4	4	7	3	5	2	7	5	5	2	7	2	2	2	10	3	
isogroup36701	1	3	2	1	4	0	5	2	3	3	0	3	2	1	0	2	0	3	0	4	
isogroup36702	0	6	6	5	3	7	2	2	6	3	11	1	9	0	4	2	3	3	11	2	
isogroup36703	8	22	9	18	31	17	10	0	13	4	11	5	7	8	5	10	6	12	5	5	
isogroup36704	43	43	13	25	57	31	45	22	23	27	31	48	23	33	29	27	20	35	14	17	
isogroup36705	6	4	3	0	0	1	2	1	1	2	2	1	3	8	2	4	6	0	7	0	
isogroup36706	50	68	16	41	73	55	48	35	18	39	24	40	24	46	14	44	8	15	4	9	
isogroup36707	83	190	37	99	140	152	85	67	65	64	55	53	103	42	36	81	28	15	14	24	
isogroup36708	72	115	50	70	134	101	80	51	62	72	62	77	39	54	43	74	22	60	16	23	
isogroup36709	90	225	61	90	206	162	131	63	104	145	66	160	87	106	70	121	42	77	38	46	
isogroup3671	2	3	1	1	3	2	1	1	1	1	1	2	2	0	0	0	1	0	0	0	
isogroup36712	147	274	146	218	377	226	257	102	233	241	246	201	193	266	158	166	231	197	232	156	
isogroup36713	7	6	13	2	2	6	9	7	7	4	5	9	4	3	3	5	5	14	3	3	
isogroup36714	13	32	408	3	6	8	5	3	37	7	560	0	9	2	3	1	2	39	34	1168	
isogroup36715	29	55	22	41	47	29	44	18	45	44	55	32	32	27	25	20	34	30	26	16	
isogroup36716	34	71	23	46	59	60	34	12	33	27	57	25	35	36	24	41	37	29	24	25	
isogroup36717	9	6	12	3	53	15	23	96	44	57	62	24	196	28	38	5	81	19	36	45	
isogroup36718	13	53	28	42	35	50	37	10	31	21	53	11	22	30	42	28	31	11	37	15	
isogroup36719	7	9	171	0	1	2	4	0	23	4	277	2	7	0	0	4	3	13	9	550	
isogroup3672	1	6	7	6	5	4	4	1	8	4	11	3	3	4	8	7	10	1	6	9	
isogroup36720	2	1	43	0	0	3	0	0	6	0	124	0	7	0	0	0	0	1	5	201	
isogroup36721	19	13	8	1	8	10	8	4	13	8	2	8	6	6	6	1	4	3	3	3	
isogroup36722	18	19	13	9	21	18	8	2	5	9	39	1	9	11	1	10	2	7	2	117	
isogroup36723	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	9	
isogroup36724	1	11	7	3	6	18	5	6	5	11	15	6	9	1	9	5	8	5	11	2	
isogroup36725	188	224	83	105	205	175	471	276	305	445	221	598	434	151	66	86	31	54	48	32	
isogroup36726	6	19	29	8	26	14	9	1	8	10	26	17	8	11	29	10	16	11	12	33	
isogroup36727	222	583	262	333	612	528	580	204	339	457	327	408	209	408	190	377	124	153	114	162	
isogroup36728	3	5	2	3	1	3	1	2	1	3	2	2	3	2	0	1	0	2	2	3	
isogroup36729	6	9	4	3	4	9	9	1	5	4	7	4	3	7	3	6	3	2	4	3	
isogroup3673	43	46	46	31	80	60	160	34	67	137	73	207	65	77	25	39	25	48	15	34	
isogroup36730	2	11	5	4	1	8	8	0	9	4	8	1	3	2	5	4	6	0	6	2	
isogroup36731	18	44	23	25	21	27	39	18	51	59	49	17	61	21	21	14	29	22	48	19	
isogroup36732	21	40	13	22	45	24	28	8	6	31	5	37	7	22	4	31	4	6	6	7	
isogroup36733	0	4	1	7	3	9	2	0	3	6	7	6	4	10	2	7	1	1	1	1	
isogroup36734	5	4	1	2	0	3	1	4	1	2	1	1	2	2	2	3	3	1	1	2	
isogroup36735	78	160	84	77	138	82	151	107	102	139	138	288	56	86	90	61	68	148	22	46	
isogroup36736	14	37	13	24	42	35	24	5	10	20	13	19	4	11	7	25	6	16	6	16	
isogroup36737	2	2	79	0	0	1	0	0	6	1	144	0	4	0	0	0	0	12	8	346	
isogroup36738	4	33	14	27	3	31	14	9	33	21	37	12	13	10	13	8	12	7	14	9	
isogroup3674	26	42	16	7	25	24	16	8	10	12	7	25	14	8	6	10	7	10	10	8	
isogroup36740	3	4	1	5	3	4	1	0	1	0	2	0	0	1	1	8	0	0	0	1	
isogroup36741	185	316	110	170	237	255	350	231	346	292	210	366	270	176	66	157	72	49	80	46	
isogroup36742	3	3	111	0	0	0	2	0	18	3	201	0	3	1	0	2	2	11	8	413	
isogroup36743	28	46	18	29	57	36	35	17	19	43	26	28	27	25	25	28	22	36	22	28	
isogroup36744	1	2	2	4	0	4	1	0	0	2	0	0	0	1	0	1	1	0	0	0	
isogroup36745	15	59	20	51	36	52	51	12	42	33	32	25	19	39	17	25	13	23	22	7	
isogroup36746	12	16	6	10	7	11	9	9	22	13	6	20	11	4	1	5	7	0	1	1	
isogroup36747	3	2	23	2	0	2	1	1	11	4	171	3	25	2	1	0	2	6	3	208	
isogroup36748	16	22	17	24	45	29	24	13	24	14	32	16	22	9	24	10	32	26	21	21	
isogroup36749	30	14	28	8	24	20	133	56	72	98	51	157	67	17	21	2	17	70	20	18	
isogroup36750	38	204	89	166	56	169	103	31	131	104	153	46	115	134	84	127	71	33	99	66	
isogroup36752	28	28	8	10	29	17	26	8	6	23	12	37	19	12	12	12	4	17	12	7	
isogroup36753	128	261	132	149	129	199	257	96	172	221	205	174	200	110	107	132	77	88	123	80	
isogroup36754	2	5	3	5	5	8	4	0	0	2	3	0	1	2	3	1	4	1	2	2	
isogroup36756	1006	1501	792	1321	1755	1396	1432	536	996	844	1232	1089	570	920	579	1189	461	992	422	481	
isogroup36757	0	13	11	4	4	12	10	2	10	11	16	0	8	11	7	11	7	3	2	3	
isogroup36758	17	16	8	10	18	5	12	7	11	21	21	17	7	5	6	6	10	11	10	7	
isogroup36759	74	71	39	42	122	82	71	41	45	83	47	87	46	38	35	56	29	35	15	21	
isogroup3676	0	1	0	0	14	2	2	1	0	0	2	0	2	0	0	0	0	0	2	1	
isogroup36760	127	632	348	658	233	777	322	58	375	400	418	163	222	761	173	333	185	83	143	130	
isogroup36761	4	9	6	7	7	10	4	6	10	7	7	3	14	3	5	4	17	6	20	9	
isogroup36762	95	163	83	100	153	105	121	98	138	113	114	132	150	112	69	58	78	128	101	59	
isogroup36763	71	68	31	29	74	51	50	37	20	42	19	28	22	29	18	58	11	35	8	11	
isogroup36764	113	254	64	96	253	211	249	85	162	161	107	214	118	117	59	110	38	64	28	41	
isogroup36765	29	99	30	66	88	83	60	16	40	51	34	41	28	41	33	60	23	30	28	21	
isogroup36766	10	6	2	6	9	8	6	0	2	4	3	6	3	11	3	8	0	1	0	2	
isogroup36767	42	24	24	19	63	35	54	32	29	36	52	43	54	19	27	21	33	20	27	25	
isogroup36768	70	72	26	34	70	74	85	30	36	42	38	68	56	41	25	43	17	29	15	21	
isogroup36769	94	153	30	118	158	95	122	64	61	56	76	76	58	93	27	90	19	23	17	9	
isogroup3677	4	10	16	6	6	4	5	3	7	4	21	6	3	4	6	6	2	3	2	45	
isogroup36770	157	376	125	272	361	369	291	52	116	198	141	159	126	209	81	300	75	102	62	62	
isogroup36771	27	48	107	23	76	47	29	21	32	23	239	50	32	25	13	16	10	41	22	439	
isogroup36772	1	4	10	1	2	1	16	4	9	11	12	13	6	3	5	1	5	8	7	8	
isogroup36773	15	15	16	6	80	12	23	11	22	25	30	52	44	9	26	10	32	24	22	37	
isogroup36774	39	35	12	14	45	26	44	12	17	25	23	38	22	27	17	24	14	23	8	11	
isogroup36776	0	1	0	1	0	0	0	0	1	2	1	0	0	1	0	0	0	0	1	2	
isogroup36777	7	2	3	0	0	4	11	9	10	17	14	19	18	1	6	1	12	9	6	4	
isogroup36778	1	5	5	7	3	3	5	1	1	4	3	2	2	1	1	3	6	4	0	4	
isogroup36779	11	11	1	15	26	21	38	9	8	8	16	19	7	18	2	4	2	6	3	6	
isogroup3678	22	22	6	7	19	15	4	13	6	10	4	11	7	4	4	5	2	4	2	2	
isogroup36780	7	5	24	2	4	4	30	9	11	32	13	29	14	5	6	7	8	8	4	7	
isogroup36781	8	10	24	7	103	6	18	4	6	14	33	24	22	7	33	8	52	59	15	76	
isogroup36782	1	14	4	15	7	9	7	0	5	6	8	3	4	2	4	6	4	2	2	2	
isogroup36783	7	9	1	3	8	8	4	4	5	6	1	5	5	3	1	5	2	1	1	2	
isogroup36784	152	269	111	158	291	200	240	108	175	192	182	194	108	142	75	171	72	145	63	114	
isogroup36785	32	20	14	5	14	13	24	16	10	17	17	15	8	16	13	17	6	16	10	13	
isogroup36786	133	101	54	63	83	80	95	36	47	74	39	81	45	50	14	63	17	20	25	22	
isogroup36787	57	103	16	53	116	111	25	12	2	10	1	12	14	84	7	99	4	7	3	2	
isogroup36788	7	34	11	15	9	34	15	0	9	4	11	1	10	4	14	19	12	2	9	3	
isogroup36789	0	3	5	3	0	4	1	0	5	1	7	0	5	1	2	0	1	0	3	12	
isogroup36790	629	1118	652	761	1378	1064	1257	533	591	1068	569	1082	508	946	423	1022	367	583	283	719	
isogroup36791	4	3	9	6	9	11	40	21	22	27	26	24	14	6	4	5	4	7	3	6	
isogroup36792	3	8	2	3	5	7	3	3	1	5	3	4	2	7	2	2	0	0	0	1	
isogroup36793	6	43	13	9	5	16	11	2	15	12	33	7	10	14	9	11	8	3	1	6	
isogroup36794	14	60	16	43	28	41	44	10	35	28	33	22	18	24	12	20	15	13	19	10	
isogroup36795	0	14	8	7	5	9	1	0	9	4	7	2	6	2	1	0	1	0	3	4	
isogroup36796	0	0	10	0	0	2	0	0	2	1	34	0	3	1	2	0	3	1	0	44	
isogroup36797	32	39	199	29	45	36	291	66	149	195	122	301	112	68	127	26	80	199	86	170	
isogroup36798	2	14	7	6	10	8	5	2	2	3	2	4	3	4	5	5	3	6	4	3	
isogroup36799	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
isogroup368	6	10	15	8	6	10	8	17	25	16	27	11	13	7	17	9	25	29	16	11	
isogroup3680	2	2	2	0	1	2	0	0	1	0	0	0	0	0	3	1	2	3	0	4	
isogroup36800	59	54	22	26	94	56	55	14	14	57	23	47	29	44	21	59	16	42	12	27	
isogroup36801	141	199	28	111	182	95	106	54	60	100	77	141	100	119	11	110	10	13	7	16	
isogroup36802	5	11	6	10	6	12	16	5	5	6	7	14	11	6	5	12	3	3	2	9	
isogroup36803	6	30	14	13	9	14	8	8	15	19	26	5	26	7	15	13	25	11	28	23	
isogroup36804	12	22	261	4	5	10	1	1	52	14	806	14	104	5	2	3	12	175	53	1405	
isogroup36805	45	214	107	152	75	284	257	29	190	176	248	94	77	172	58	147	46	26	40	34	
isogroup36806	8	47	33	38	11	55	10	5	25	14	30	6	14	55	16	20	25	11	44	14	
isogroup36807	11	7	2	3	5	8	1	1	0	0	3	0	2	1	1	2	1	1	1	1	
isogroup36808	2	25	10	17	7	20	21	3	24	23	24	5	23	13	21	20	24	8	23	17	
isogroup36809	12	44	74	31	26	28	31	10	29	28	74	14	28	14	24	15	28	24	20	158	
isogroup3681	0	1	0	2	0	1	1	0	3	0	0	0	1	0	1	1	1	0	0	1	
isogroup36810	37	37	13	28	53	24	15	6	18	14	9	14	11	25	5	31	4	12	5	5	
isogroup36811	24	25	25	9	23	17	35	26	38	30	33	38	23	14	20	12	16	14	8	12	
isogroup36812	516	1348	464	764	1249	1180	1054	280	604	976	513	927	426	635	297	1014	272	577	204	352	
isogroup36813	78	96	33	76	111	100	89	37	57	76	42	86	48	72	27	56	14	23	20	32	
isogroup36814	4	7	2	2	7	1	2	0	1	1	3	8	3	2	0	1	0	0	0	0	
isogroup36816	16	13	5	4	10	12	32	13	22	20	15	32	12	15	7	4	9	1	7	12	
isogroup36817	1	8	119	1	0	0	0	0	3	0	20	0	0	1	1	2	1	5	1	122	
isogroup36818	1	5	2	4	3	0	3	1	1	1	2	1	1	2	2	2	1	0	4	4	
isogroup36819	40	166	105	174	71	172	123	11	106	83	110	50	55	306	86	187	82	60	46	52	
isogroup3682	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	
isogroup36820	23	15	11	10	18	11	28	12	15	33	22	18	7	9	6	7	8	10	5	4	
isogroup36821	5	14	2	1	5	4	2	0	0	3	2	2	4	3	0	5	1	5	3	1	
isogroup36822	53	81	27	56	106	56	96	31	68	71	34	85	36	47	20	56	14	33	12	18	
isogroup36823	19	42	50	61	58	34	87	22	38	36	48	52	15	62	34	40	48	134	36	60	
isogroup36824	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup36825	6	15	12	5	6	8	7	2	2	5	6	3	7	6	5	1	5	4	2	13	
isogroup36826	33	103	38	60	67	116	75	29	90	64	85	60	62	49	44	45	40	36	36	33	
isogroup36827	1	10	16	2	0	6	14	6	13	21	28	11	12	3	19	4	19	5	22	20	
isogroup36828	31	22	26	14	34	23	13	11	20	19	9	17	6	12	19	6	20	27	12	19	
isogroup36829	54	62	34	42	49	59	52	51	31	46	30	47	24	50	22	42	21	18	12	19	
isogroup3683	1	1	1	0	0	0	13	5	4	8	2	7	8	3	1	0	1	0	5	0	
isogroup36830	3	12	7	4	5	3	1	1	17	14	31	0	26	1	11	4	24	12	29	18	
isogroup36831	4	2	1	0	3	4	2	0	0	0	1	0	0	2	1	1	1	0	0	0	
isogroup36832	1	6	3	8	1	5	2	1	5	4	7	2	4	1	3	3	5	0	4	0	
isogroup36833	480	602	271	451	748	573	577	294	290	420	321	469	264	449	213	445	160	256	133	178	
isogroup36834	16	42	14	28	29	35	29	19	28	35	17	28	27	15	13	24	5	30	12	13	
isogroup36835	128	241	37	205	363	237	135	62	75	107	72	308	122	109	18	143	36	36	11	22	
isogroup36836	0	7	4	3	2	2	4	0	3	1	2	0	1	0	0	2	2	0	1	0	
isogroup36837	10	38	21	19	32	24	34	6	15	28	27	17	22	23	22	30	10	14	11	14	
isogroup36838	7	8	9	3	4	13	7	0	3	1	2	0	3	11	4	7	3	3	2	2	
isogroup36839	137	213	120	104	194	163	142	42	89	122	80	95	52	128	93	145	46	90	60	60	
isogroup3684	0	1	0	2	0	2	0	1	3	0	4	0	0	1	1	1	1	0	0	1	
isogroup36840	32	117	38	72	82	49	43	27	47	45	36	87	48	52	39	64	28	70	41	28	
isogroup36841	59	120	26	41	106	85	78	20	26	71	33	78	28	51	9	96	12	32	19	27	
isogroup36842	4	12	13	13	9	11	19	7	33	33	25	7	24	5	8	8	10	19	9	7	
isogroup36843	26	45	18	17	47	49	31	9	19	15	30	23	15	24	18	23	17	8	8	14	
isogroup36844	6	10	80	1	4	2	2	1	7	0	52	1	4	2	3	2	2	12	2	218	
isogroup36845	62	66	44	46	56	75	106	28	31	77	43	59	23	61	24	54	17	28	21	13	
isogroup36846	16	32	12	30	24	24	45	16	30	22	32	27	15	27	8	21	6	8	1	10	
isogroup36847	18	32	2	33	52	40	19	4	19	23	8	5	10	31	1	21	4	3	4	4	
isogroup36848	167	342	137	340	357	232	311	104	204	206	190	273	128	288	67	276	94	160	66	75	
isogroup36849	0	0	1	1	1	0	2	0	0	0	1	0	1	1	1	0	0	0	1	0	
isogroup3685	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	
isogroup36850	46	45	14	28	46	40	54	61	25	39	33	56	32	18	7	24	4	8	4	4	
isogroup36851	39	52	20	20	63	44	20	9	22	18	9	20	8	28	11	38	10	14	7	7	
isogroup36852	5	10	16	5	3	5	22	12	23	24	34	20	12	8	12	8	9	17	7	63	
isogroup36853	41	85	23	37	66	61	91	24	36	67	33	101	38	52	13	43	5	16	12	18	
isogroup36854	9	16	262	1	0	0	0	1	5	1	121	0	1	2	0	0	1	13	7	390	
isogroup36855	36	35	9	12	31	32	15	10	7	15	8	20	9	12	11	23	9	13	5	5	
isogroup36856	466	868	310	480	847	725	502	191	295	347	236	416	194	390	196	500	130	268	128	158	
isogroup36857	101	135	66	66	172	128	144	42	75	97	65	161	76	92	48	82	35	86	39	41	
isogroup36858	9	1	2	2	6	9	2	4	0	1	3	1	1	4	4	0	7	3	5	2	
isogroup36859	6	10	62	3	250	25	21	8	36	27	134	53	113	8	310	9	305	211	111	326	
isogroup3686	0	1	4	0	1	3	0	0	0	0	5	1	0	1	1	0	1	1	0	5	
isogroup36860	76	91	23	48	109	67	75	29	21	50	16	66	35	60	19	61	14	27	8	10	
isogroup36861	3	5	1	2	2	6	3	0	4	5	1	2	1	2	1	2	0	0	4	2	
isogroup36862	144	270	90	164	343	176	229	82	139	157	125	239	101	181	73	203	60	188	63	98	
isogroup36863	9	10	8	7	8	9	19	8	10	11	16	12	5	6	7	10	4	4	4	4	
isogroup36864	2	9	0	5	4	4	5	0	8	7	4	4	2	3	1	3	0	0	2	0	
isogroup36865	22	26	13	15	24	23	42	7	16	25	18	30	15	20	8	18	2	9	8	5	
isogroup36867	50	74	36	36	56	59	75	46	47	50	44	48	36	29	35	45	18	38	29	29	
isogroup36868	90	112	51	56	116	106	102	53	61	59	62	77	54	48	49	57	30	45	24	31	
isogroup36869	16	107	34	81	40	63	59	6	93	59	90	21	20	53	22	50	20	21	32	22	
isogroup3687	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	2	0	0	
isogroup36870	15	41	7	19	54	29	17	6	11	14	11	17	10	12	6	30	7	5	2	2	
isogroup36871	23	47	34	33	59	54	47	29	41	52	34	35	30	25	19	38	25	26	24	19	
isogroup36872	58	59	36	45	57	59	35	22	32	47	30	42	25	31	38	25	21	37	24	19	
isogroup36873	15	64	109	48	47	77	332	60	213	221	241	198	93	80	71	44	87	74	58	100	
isogroup36874	16	18	7	17	20	16	32	8	20	24	10	20	11	14	3	17	6	16	4	9	
isogroup36875	13	12	6	5	12	10	5	5	7	3	5	5	5	1	5	4	4	2	1	3	
isogroup36876	1	6	6	7	0	8	5	0	2	5	10	1	2	4	6	3	5	1	3	2	
isogroup36877	6	9	7	7	4	5	4	1	7	8	4	7	2	3	2	9	0	3	3	1	
isogroup36878	99	130	44	75	114	125	58	8	27	41	27	42	21	44	20	82	13	20	15	16	
isogroup36879	673	1540	616	1086	1841	1452	1492	319	613	847	661	1094	409	1046	342	1052	209	427	220	381	
isogroup36880	67	125	21	69	175	97	79	27	28	54	33	80	44	75	12	69	4	12	6	11	
isogroup36881	0	2	3	0	0	3	0	0	1	0	2	1	4	2	2	0	5	6	3	2	
isogroup36882	0	4	6	6	1	6	4	1	3	1	8	1	3	6	1	5	3	0	2	3	
isogroup36883	7	2	13	4	9	13	18	0	11	22	20	27	6	10	2	5	5	60	3	26	
isogroup36884	12	47	31	29	8	34	39	4	41	45	57	8	19	32	31	23	30	5	14	22	
isogroup36885	2	2	3	1	0	0	2	0	0	0	0	1	0	0	2	0	1	7	1	7	
isogroup36886	18	18	1	7	41	9	20	13	8	11	9	23	10	15	3	6	3	16	0	7	
isogroup36887	25	29	4	9	37	23	12	31	12	22	25	33	20	9	7	6	13	5	7	5	
isogroup36888	8	57	36	57	23	51	29	6	30	20	66	8	12	29	15	27	16	8	12	56	
isogroup36889	6	40	12	31	29	28	16	6	25	17	38	15	14	11	9	19	10	15	4	19	
isogroup3689	24	58	15	39	29	45	49	19	34	50	59	27	23	27	14	35	28	16	27	6	
isogroup36890	111	93	31	44	116	110	112	64	44	79	44	77	49	70	24	73	26	19	23	19	
isogroup36891	16	44	27	34	29	29	60	3	23	15	34	23	11	24	16	28	17	19	14	15	
isogroup36892	68	94	36	79	80	74	99	47	69	87	82	73	33	42	25	59	19	20	11	7	
isogroup36893	36	48	26	21	29	33	47	22	31	29	34	66	25	33	29	28	19	33	12	19	
isogroup36894	18	21	7	6	12	8	9	2	15	8	6	5	5	3	6	11	6	4	5	5	
isogroup36895	80	154	37	93	103	134	37	6	13	4	14	19	16	87	16	68	22	27	18	20	
isogroup36896	10	29	85	28	8	22	5	4	17	9	72	7	14	10	9	12	18	14	14	261	
isogroup36897	68	116	24	44	122	109	74	46	46	43	43	74	45	42	16	52	16	23	18	13	
isogroup36898	0	11	7	3	1	8	7	1	8	4	8	6	9	3	12	4	6	4	11	4	
isogroup36899	95	209	102	197	260	197	213	57	108	168	165	206	74	191	60	196	75	139	34	92	
isogroup369	115	463	142	131	188	130	94	38	170	229	75	86	44	83	110	278	32	51	33	41	
isogroup3690	0	5	6	4	0	5	2	0	7	1	7	0	0	0	2	1	0	0	3	1	
isogroup36900	9	8	14	7	8	16	8	6	7	7	56	7	14	5	2	5	1	11	1	109	
isogroup36901	8	23	14	29	11	29	4	3	17	1	20	4	6	7	13	8	19	11	28	9	
isogroup36902	90	76	39	33	72	53	73	20	50	55	47	40	47	35	21	44	21	16	19	14	
isogroup36903	13	10	143	1	1	3	1	2	35	3	520	0	40	6	1	1	5	32	19	860	
isogroup36904	124	126	61	58	106	123	105	36	37	61	45	71	31	94	23	45	25	24	18	26	
isogroup36905	39	77	43	57	80	69	168	43	104	121	126	129	41	67	32	67	24	24	28	26	
isogroup36906	18	47	14	30	42	46	41	3	32	29	36	30	10	25	14	40	9	14	9	12	
isogroup36907	64	304	78	144	306	117	129	65	261	242	156	190	120	115	117	166	88	254	121	134	
isogroup36908	0	3	0	2	1	3	2	2	7	8	12	0	1	0	2	0	1	0	2	0	
isogroup36909	15	38	8	28	33	31	11	8	11	11	10	9	6	15	6	23	2	3	1	1	
isogroup3691	161	282	95	154	336	293	320	77	129	213	116	276	90	243	47	245	28	88	22	42	
isogroup36910	243	635	229	354	668	506	384	226	329	489	290	521	326	314	197	439	166	238	113	141	
isogroup36912	73	294	123	201	73	231	124	19	108	56	135	60	41	147	97	123	58	36	87	50	
isogroup36913	6	13	11	8	130	10	14	4	4	14	15	14	42	5	32	11	44	25	23	46	
isogroup36914	1	7	7	6	4	10	6	4	1	2	6	3	2	3	1	4	2	4	6	3	
isogroup36915	39	57	43	26	51	71	64	37	51	53	42	76	86	39	18	30	28	32	19	29	
isogroup36916	115	611	263	302	761	454	352	135	321	364	212	679	191	292	163	501	92	482	92	212	
isogroup36917	491	779	620	596	425	1016	297	248	464	187	565	145	335	521	634	382	424	142	176	254	
isogroup36918	2	5	3	9	9	11	10	3	10	2	13	5	13	5	10	6	3	2	4	2	
isogroup36919	19	23	2	10	23	20	16	2	7	18	15	8	14	10	8	16	13	8	8	4	
isogroup3692	7	38	13	15	25	24	12	6	13	7	6	3	8	16	14	22	4	11	6	10	
isogroup36920	209	273	105	177	331	206	211	76	128	161	94	175	87	174	78	195	35	97	37	62	
isogroup36921	0	1	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	
isogroup36922	8	5	5	5	9	7	18	14	12	14	16	16	14	3	4	3	2	5	1	6	
isogroup36923	8	7	4	7	5	11	11	8	8	1	8	9	9	3	2	3	5	3	7	3	
isogroup36924	4	12	7	6	8	15	2	3	2	9	3	13	2	4	10	15	3	12	11	8	
isogroup36925	84	58	16	24	46	44	36	21	37	37	30	27	25	20	19	45	25	20	27	13	
isogroup36926	47	98	38	41	78	79	67	38	45	59	31	52	39	39	23	51	16	15	16	19	
isogroup36927	53	82	39	30	68	60	60	35	42	53	27	51	47	32	21	55	23	18	21	14	
isogroup36928	60	141	82	90	68	92	72	37	94	91	100	33	91	73	81	78	81	151	98	71	
isogroup36929	0	0	0	0	0	3	0	0	1	2	0	0	0	0	1	0	1	0	0	0	
isogroup36930	2	1	8	0	0	0	0	0	0	0	23	0	0	0	0	0	0	1	1	45	
isogroup36931	0	0	1	0	0	1	0	0	3	1	2	0	0	0	0	2	0	0	1	0	
isogroup36932	9	11	10	5	8	4	28	15	24	25	20	36	25	9	13	3	10	21	15	9	
isogroup36933	33	47	26	28	64	44	46	20	30	34	27	36	27	46	20	34	19	38	16	21	
isogroup36934	28	60	32	50	123	39	55	25	36	57	62	79	27	39	26	33	45	65	22	35	
isogroup36935	44	139	46	75	51	71	23	16	49	35	37	14	29	75	33	44	42	48	77	28	
isogroup36936	20	35	13	20	44	20	22	18	27	16	26	18	25	20	15	23	20	43	22	9	
isogroup36937	37	36	8	12	21	21	26	26	23	21	14	26	17	18	3	16	5	13	7	4	
isogroup36938	9	37	14	46	27	50	41	6	47	17	34	16	12	24	18	39	16	7	15	9	
isogroup36939	10	31	10	30	18	22	37	10	24	14	36	18	8	19	6	16	12	8	10	9	
isogroup3694	1	1	1	1	1	0	0	2	2	0	1	0	2	1	1	0	0	0	0	0	
isogroup36940	66	66	26	43	77	45	47	13	32	34	41	40	24	26	21	29	18	49	14	27	
isogroup36941	32	70	30	66	74	67	140	37	57	86	55	86	20	62	29	60	25	34	20	24	
isogroup36942	40	48	71	24	40	26	38	23	27	26	65	35	24	18	15	31	13	20	18	138	
isogroup36943	5	14	7	17	3	9	14	1	7	13	5	6	10	14	0	10	2	1	4	1	
isogroup36944	10	129	30	73	23	58	30	9	63	24	62	12	22	26	56	34	28	11	15	24	
isogroup36945	7	8	2	2	6	7	1	0	1	4	3	2	2	7	1	6	1	0	0	2	
isogroup36946	13	13	16	2	9	9	55	40	27	33	28	56	30	13	15	6	16	25	17	15	
isogroup36947	0	0	3	0	0	0	0	0	0	0	1	0	2	2	0	0	2	1	1	15	
isogroup36948	0	1	43	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	36	
isogroup36949	159	240	92	95	239	221	173	59	89	147	99	141	89	102	43	124	26	103	30	119	
isogroup3695	0	8	1	2	1	4	1	1	3	1	2	0	2	1	1	3	5	4	4	2	
isogroup36950	22	42	57	39	45	47	72	18	56	68	80	40	46	54	20	46	36	48	40	50	
isogroup36951	201	369	64	165	365	267	175	85	146	120	85	240	129	140	58	165	53	69	35	42	
isogroup36952	9	44	10	53	29	40	20	6	29	18	37	20	14	29	20	26	18	16	11	11	
isogroup36953	0	4	0	3	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup36954	2	10	98	2	0	1	0	0	11	0	196	0	8	0	0	1	4	12	8	383	
isogroup36955	191	213	160	125	205	212	202	144	175	170	153	224	121	129	99	144	66	88	62	63	
isogroup36956	3	20	3	17	20	14	0	7	5	4	6	7	14	5	7	1	20	6	31	4	
isogroup36957	42	52	24	27	44	41	33	18	23	26	19	30	24	21	23	25	18	17	7	10	
isogroup36958	1	1	0	3	4	3	1	1	1	4	3	3	2	3	0	3	0	0	0	3	
isogroup36959	4	13	3	4	31	11	6	3	4	5	11	8	7	3	8	6	11	7	8	9	
isogroup3696	0	5	3	4	1	5	8	0	9	7	4	4	7	1	1	2	2	4	3	2	
isogroup36960	1	7	8	7	2	10	8	2	12	12	10	2	6	5	5	3	4	0	13	4	
isogroup36961	23	30	85	21	21	45	151	46	54	112	48	96	52	29	51	23	19	47	36	47	
isogroup36962	8	74	18	50	16	64	73	15	46	37	51	9	29	40	34	36	32	11	20	27	
isogroup36963	6	9	10	3	3	4	5	4	6	11	10	16	10	7	6	2	5	2	5	3	
isogroup36964	11	19	5	7	10	5	3	4	4	3	1	0	2	3	3	7	0	3	0	0	
